path,in_scope,reverted_only,notes
src/main/java/org/cswteams/ms3/security/SecurityConfigurer.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/security/TwoFactorAuthenticationService.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/security/TwoFactorCodeService.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/security/TwoFactorProperties.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/security/TwoFactorResult.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/security/TwoFactorVerificationOutcome.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/utils/JwtUtil.java,yes,no,code_change_in_scope
src/main/java/org/cswteams/ms3/utils/TurnstileService.java,yes,no,code_change_in_scope
src/main/resources/Dockerfile.backend.debug,yes,no,code_change_in_scope
src/main/resources/ai/system_prompt_template.txt,no,no,non_code_config_asset_excluded
src/main/resources/application-container.properties,no,no,non_code_config_asset_excluded
src/main/resources/application.properties,no,no,non_code_config_asset_excluded
src/main/resources/db/assign_privileges.sql,yes,no,code_change_in_scope
src/main/resources/db/create_blacklisted_tokens.sql,yes,no,code_change_in_scope
src/main/resources/db/create_schemas.sql,yes,no,code_change_in_scope
src/main/resources/db/create_system_user_tables.sql,yes,no,code_change_in_scope
src/main/resources/db/init-scripts/init-users.sh,yes,no,code_change_in_scope
src/main/resources/db/migration/V1__add_2fa_state_columns.sql,yes,no,code_change_in_scope
src/main/resources/db/migration/V2__migrate_feedback_category_to_postgres_enum.sql,yes,no,code_change_in_scope
src/main/resources/db/migration/V3__feedback_category_enum_to_varchar_check.sql,yes,no,code_change_in_scope
src/main/resources/db/migration/V4__feedback_category_varchar_to_pg_enum.sql,yes,no,code_change_in_scope
src/main/resources/db/tenant/sequences/create_sequence.sql,yes,no,code_change_in_scope
src/main/resources/db/tenant/tables/create_feedback_tables.sql,yes,no,code_change_in_scope
src/main/resources/db/tenant/tables/create_tenant_user_tables.sql,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/broker/AiPromptTemplateTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/broker/mapper/AiScheduleResponseMapperTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/decision/DecisionAlgorithmServiceTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/metrics/MetricUtilitiesTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/orchestration/AiHardCoveragePromptBlockBuilderTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/orchestration/AiReschedulingOrchestrationServiceTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/orchestration/AiRoleValidationScratchpadPromptBlockBuilderTest.java,yes,no,code_change_in_scope
src/test/java/org/cswteams/ms3/ai/orchestration/AiScheduleGenerationOrchestrationServiceRetryValidationTest.java,yes,no,code_change_in_scope
